"key","name","id"
"Natural_Gas","Natural Gas",1
"Petroleum_Products","Petroleum Products",2
"Coal","Coal",3
"Water","Water",4
"Solar","Solar",5
"Wind","Wind",6
"Electricity","Electricity",7
"Imported_Electricity","Imported Electricity",8
"Other","Other",9
