"scenario_id","zone_id","year","total","sector_id","fuel_type_id"
26,1,2039,3.464817e-07,1,9
26,1,2040,3.464817e-07,1,9
26,1,2041,3.464817e-07,1,9
26,1,2042,3.51378e-07,1,9
26,1,2043,3.562744e-07,1,9
26,1,2044,3.611708e-07,1,9
26,1,2045,3.660672e-07,1,9
26,1,2046,3.709635e-07,1,9
26,1,2047,3.756642e-07,1,9
26,1,2048,3.803649e-07,1,9
26,1,2049,3.850656e-07,1,9
26,1,2050,3.897663e-07,1,9
26,1,2011,0,1,5
26,1,2012,0,1,5
26,1,2013,0,1,5
26,1,2014,0,1,5
26,1,2015,0,1,5
26,1,2016,0,1,5
26,1,2017,0,1,5
26,1,2018,0,1,5
26,1,2019,0,1,5
26,1,2020,0,1,5
26,1,2021,0,1,5
26,1,2022,0,1,5
26,1,2023,0,1,5
26,1,2024,0,1,5
26,1,2025,0,1,5
26,1,2026,0,1,5
26,1,2027,0,1,5
26,1,2028,0,1,5
26,1,2029,0,1,5
26,1,2030,0,1,5
26,1,2031,0,1,5
26,1,2032,0,1,5
26,1,2033,0,1,5
26,1,2034,0,1,5
26,1,2035,0,1,5
26,1,2036,0,1,5
26,1,2037,0,1,5
26,1,2038,0,1,5
26,1,2039,0,1,5
26,1,2040,0,1,5
26,1,2041,0,1,5
26,1,2042,0,1,5
26,1,2043,0,1,5
26,1,2044,0,1,5
26,1,2045,0,1,5
26,1,2046,0,1,5
26,1,2047,0,1,5
26,1,2048,0,1,5
26,1,2049,0,1,5
26,1,2050,0,1,5
26,1,2011,0.0002984214,2,1
26,1,2012,0.0002791278,2,1
26,1,2013,0.0002791278,2,1
26,1,2014,0.0002791278,2,1
26,1,2015,0.0002791278,2,1
26,1,2016,0.0002791278,2,1
26,1,2017,0.0002598342,2,1
26,1,2018,0.0002598342,2,1
26,1,2019,0.0002598342,2,1
26,1,2020,0.0002598342,2,1
26,1,2021,0.0002598342,2,1
26,1,2022,0.0002405406,2,1
26,1,2023,0.0002405406,2,1
26,1,2024,0.0002405406,2,1
26,1,2025,0.0002405406,2,1
26,1,2026,0.0002405406,2,1
26,1,2027,0.000221247,2,1
26,1,2028,0.000221247,2,1
26,1,2029,0.000221247,2,1
26,1,2030,0.000221247,2,1
26,1,2031,0.000221247,2,1
26,1,2032,0.0002019534,2,1
26,1,2033,0.0002019534,2,1
26,1,2034,0.0002019534,2,1
26,1,2035,0.0002019534,2,1
26,1,2036,0.0002019534,2,1
