"scenario_id","year","total","end_use_id","fuel_type_id"
35,2011,412.0522,1,1
35,2012,409.9866,1,1
35,2013,408.8166,1,1
35,2014,410.6395,1,1
35,2015,405.634,1,1
35,2016,400.1715,1,1
35,2017,393.957,1,1
35,2018,387.1408,1,1
35,2019,380.2251,1,1
35,2020,373.4251,1,1
35,2021,366.89,1,1
35,2022,360.4203,1,1
35,2023,353.873,1,1
35,2024,346.9692,1,1
35,2025,339.8953,1,1
35,2026,332.6945,1,1
35,2027,325.533,1,1
35,2028,318.5201,1,1
35,2029,311.6333,1,1
35,2030,305.0614,1,1
35,2031,298.9077,1,1
35,2032,293.2749,1,1
35,2033,288.2401,1,1
35,2034,283.8619,1,1
35,2035,280.1455,1,1
35,2036,277.1715,1,1
35,2037,274.8528,1,1
35,2038,273.1626,1,1
35,2039,272.0676,1,1
35,2040,271.4758,1,1
35,2041,271.3071,1,1
35,2042,271.4782,1,1
35,2043,271.8887,1,1
35,2044,272.4376,1,1
35,2045,273.0461,1,1
35,2046,273.3477,1,1
35,2047,273.9678,1,1
35,2048,274.5487,1,1
35,2049,275.0726,1,1
35,2050,275.542,1,1
35,2011,27.10243,1,2
35,2012,26.56183,1,2
35,2013,25.61468,1,2
35,2014,24.53365,1,2
35,2015,22.81618,1,2
35,2016,21.34477,1,2
35,2017,20.2194,1,2
35,2018,19.45299,1,2
35,2019,18.97131,1,2
35,2020,18.61145,1,2
35,2021,18.19671,1,2
35,2022,17.63119,1,2
35,2023,16.94035,1,2
35,2024,16.20553,1,2
35,2025,15.48747,1,2
35,2026,14.79702,1,2
35,2027,14.12863,1,2
35,2028,13.47499,1,2
35,2029,12.84048,1,2
35,2030,12.2305,1,2
35,2031,11.65246,1,2
35,2032,11.11387,1,2
35,2033,10.62232,1,2
35,2034,10.18258,1,2
35,2035,9.798637,1,2
35,2036,9.477662,1,2
35,2037,9.216551,1,2
35,2038,9.013136,1,2
35,2039,8.864123,1,2
35,2040,8.76187,1,2
35,2041,8.699398,1,2
35,2042,8.669351,1,2
35,2043,8.663081,1,2
35,2044,8.671928,1,2
35,2045,8.689108,1,2
35,2046,8.681211,1,2
35,2047,8.705427,1,2
35,2048,8.729045,1,2
35,2049,8.750385,1,2
35,2050,8.769503,1,2
35,2011,0.7399377,1,3
35,2012,0.7532151,1,3
35,2013,0.7614305,1,3
35,2014,0.7689357,1,3
35,2015,0.7592975,1,3
35,2016,0.7487761,1,3
35,2017,0.7390396,1,3
35,2018,0.7290629,1,3
35,2019,0.7163724,1,3
35,2020,0.6998294,1,3
35,2021,0.6803402,1,3
35,2022,0.6599619,1,3
35,2023,0.6406702,1,3
35,2024,0.6228921,1,3
35,2025,0.6061386,1,3
35,2026,0.589532,1,3
35,2027,0.5729904,1,3
35,2028,0.556593,1,3
35,2029,0.5406153,1,3
35,2030,0.5252674,1,3
35,2031,0.5107469,1,3
35,2032,0.4972451,1,3
35,2033,0.4849535,1,3
35,2034,0.473953,1,3
35,2035,0.4643071,1,3
35,2036,0.4563001,1,3
35,2037,0.4497537,1,3
35,2038,0.4446126,1,3
35,2039,0.4408217,1,3
35,2040,0.4381587,1,3
35,2041,0.4364705,1,3
35,2042,0.4356047,1,3
35,2043,0.4353436,1,3
35,2044,0.4354492,1,3
35,2045,0.4357435,1,3
35,2046,0.4354982,1,3
35,2047,0.4359675,1,3
35,2048,0.4364291,1,3
35,2049,0.4368233,1,3
35,2050,0.4371629,1,3
35,2011,0.7399377,1,4
35,2012,0.7532151,1,4
35,2013,0.7614305,1,4
35,2014,0.7689357,1,4
35,2015,0.7592975,1,4
35,2016,0.7487761,1,4
35,2017,0.7390396,1,4
35,2018,0.7290629,1,4
35,2019,0.7163724,1,4
35,2020,0.6998294,1,4
35,2021,0.6803402,1,4
35,2022,0.6599619,1,4
35,2023,0.6406702,1,4
35,2024,0.6228921,1,4
35,2025,0.6061386,1,4
35,2026,0.589532,1,4
35,2027,0.5729904,1,4
35,2028,0.556593,1,4
35,2029,0.5406153,1,4
35,2030,0.5252674,1,4
35,2031,0.5107469,1,4
35,2032,0.4972451,1,4
35,2033,0.4849535,1,4
35,2034,0.473953,1,4
35,2035,0.4643071,1,4
35,2036,0.4563001,1,4
35,2037,0.4497537,1,4
35,2038,0.4446126,1,4
35,2039,0.4408217,1,4
35,2040,0.4381587,1,4
35,2041,0.4364705,1,4
35,2042,0.4356047,1,4
35,2043,0.4353436,1,4
35,2044,0.4354492,1,4
35,2045,0.4357435,1,4
35,2046,0.4354982,1,4
35,2047,0.4359675,1,4
35,2048,0.4364291,1,4
35,2049,0.4368233,1,4
35,2050,0.4371629,1,4
35,2011,2.219813,1,5
35,2012,2.259646,1,5
35,2013,2.284292,1,5
35,2014,2.306807,1,5
35,2015,2.277893,1,5
35,2016,2.246329,1,5
35,2017,2.217119,1,5
35,2018,2.187188,1,5
35,2019,2.149117,1,5
35,2020,2.099489,1,5
35,2021,2.04102,1,5
35,2022,1.979885,1,5
35,2023,1.92201,1,5
35,2024,1.868677,1,5
35,2025,1.818415,1,5
35,2026,1.768595,1,5
35,2027,1.718971,1,5
35,2028,1.669779,1,5
35,2029,1.621847,1,5
35,2030,1.575802,1,5
35,2031,1.532241,1,5
35,2032,1.491736,1,5
35,2033,1.45486,1,5
35,2034,1.421859,1,5
35,2035,1.392921,1,5
35,2036,1.368901,1,5
35,2037,1.349261,1,5
35,2038,1.333837,1,5
35,2039,1.322465,1,5
35,2040,1.314476,1,5
35,2041,1.309411,1,5
35,2042,1.306814,1,5
35,2043,1.306031,1,5
35,2044,1.306347,1,5
35,2045,1.307231,1,5
35,2046,1.306495,1,5
35,2047,1.307903,1,5
35,2048,1.309287,1,5
35,2049,1.31047,1,5
35,2050,1.311488,1,5
35,2011,0.1479876,1,6
35,2012,0.1506431,1,6
35,2013,0.1522862,1,6
35,2014,0.1537871,1,6
35,2015,0.1518595,1,6
35,2016,0.1497553,1,6
35,2017,0.147808,1,6
35,2018,0.1458126,1,6
35,2019,0.1432745,1,6
35,2020,0.1399659,1,6
35,2021,0.136068,1,6
35,2022,0.1319924,1,6
35,2023,0.128134,1,6
35,2024,0.1245784,1,6
35,2025,0.1212277,1,6
35,2026,0.1179064,1,6
35,2027,0.1145981,1,6
35,2028,0.1113186,1,6
35,2029,0.1081231,1,6
35,2030,0.1050535,1,6
35,2031,0.1021494,1,6
35,2032,0.09944903,1,6
35,2033,0.0969907,1,6
35,2034,0.09479062,1,6
35,2035,0.09286143,1,6
35,2036,0.09126002,1,6
35,2037,0.08995074,1,6
35,2038,0.08892252,1,6
35,2039,0.08816434,1,6
35,2040,0.08763174,1,6
35,2041,0.08729411,1,6
35,2042,0.08712095,1,6
35,2043,0.08706873,1,6
35,2044,0.08708984,1,6
35,2045,0.08714872,1,6
35,2046,0.08709963,1,6
35,2047,0.08719351,1,6
35,2048,0.08728583,1,6
35,2049,0.08736468,1,6
35,2050,0.0874326,1,6
35,2011,0,1,7
35,2012,0,1,7
35,2013,0,1,7
35,2014,0,1,7
35,2015,0,1,7
35,2016,0,1,7
35,2017,0,1,7
35,2018,0,1,7
35,2019,0,1,7
35,2020,0,1,7
35,2021,0,1,7
35,2022,0,1,7
35,2023,0,1,7
35,2024,0,1,7
35,2025,0,1,7
35,2026,0,1,7
35,2027,0,1,7
35,2028,0,1,7
35,2029,0,1,7
35,2030,0,1,7
35,2031,0,1,7
35,2032,0,1,7
35,2033,0,1,7
35,2034,0,1,7
35,2035,0,1,7
35,2036,0,1,7
35,2037,0,1,7
35,2038,0,1,7
35,2039,0,1,7
35,2040,0,1,7
35,2041,0,1,7
35,2042,0,1,7
35,2043,0,1,7
35,2044,0,1,7
35,2045,0,1,7
35,2046,0,1,7
35,2047,0,1,7
35,2048,0,1,7
35,2049,0,1,7
35,2050,0,1,7
35,2011,59.19502,1,8
35,2012,60.25721,1,8
35,2013,60.91444,1,8
35,2014,61.51486,1,8
35,2015,60.7438,1,8
35,2016,59.90211,1,8
35,2017,59.12318,1,8
35,2018,58.32503,1,8
35,2019,57.30978,1,8
35,2020,55.98635,1,8
35,2021,54.42722,1,8
35,2022,52.79696,1,8
35,2023,51.25361,1,8
35,2024,49.83137,1,8
35,2025,48.49109,1,8
35,2026,47.16255,1,8
35,2027,45.83924,1,8
35,2028,44.52745,1,8
35,2029,43.24923,1,8
35,2030,42.0214,1,8
35,2031,40.85975,1,8
35,2032,39.7796,1,8
35,2033,38.79628,1,8
35,2034,37.91624,1,8
35,2035,37.14457,1,8
35,2036,36.50401,1,8
35,2037,35.9803,1,8
35,2038,35.56901,1,8
35,2039,35.26574,1,8
35,2040,35.0527,1,8
35,2041,34.91764,1,8
35,2042,34.84837,1,8
35,2043,34.82749,1,8
35,2044,34.83593,1,8
35,2045,34.85948,1,8
35,2046,34.83985,1,8
35,2047,34.8774,1,8
35,2048,34.91433,1,8
35,2049,34.94587,1,8
35,2050,34.97304,1,8
35,2011,51.48331,1,9
35,2012,52.62397,1,9
35,2013,53.76782,1,9
35,2014,55.32715,1,9
35,2015,55.81183,1,9
35,2016,56.10582,1,9
35,2017,56.06589,1,9
35,2018,55.66276,1,9
35,2019,54.98618,1,9
35,2020,54.1083,1,9
35,2021,53.0724,1,9
35,2022,51.89336,1,9
35,2023,50.64018,1,9
35,2024,49.37536,1,9
35,2025,48.1603,1,9
35,2026,46.98418,1,9
35,2027,45.83872,1,9
35,2028,44.71928,1,9
35,2029,43.62319,1,9
35,2030,42.57467,1,9
35,2031,41.59082,1,9
35,2032,40.68875,1,9
35,2033,39.88277,1,9
35,2034,39.18314,1,9
35,2035,38.59344,1,9
35,2036,38.12792,1,9
35,2037,37.7745,1,9
35,2038,37.52867,1,9
35,2039,37.38442,1,9
35,2040,37.32614,1,9
35,2041,37.33996,1,9
35,2042,37.41138,1,9
35,2043,37.52316,1,9
35,2044,37.65799,1,9
35,2045,37.8024,1,9
35,2046,37.89233,1,9
35,2047,38.03723,1,9
35,2048,38.1746,1,9
35,2049,38.30134,1,9
35,2050,38.41788,1,9
35,2011,22.12329,2,1
35,2012,21.76085,2,1
35,2013,21.20152,2,1
35,2014,21.14448,2,1
35,2015,21.17814,2,1
35,2016,21.43385,2,1
35,2017,21.72736,2,1
35,2018,21.82323,2,1
35,2019,21.94059,2,1
35,2020,22.08294,2,1
35,2021,22.15908,2,1
35,2022,22.25428,2,1
35,2023,22.53239,2,1
35,2024,22.82757,2,1
35,2025,23.14326,2,1
35,2026,23.47552,2,1
35,2027,23.82354,2,1
35,2028,24.11513,2,1
35,2029,24.31685,2,1
35,2030,24.63413,2,1
35,2031,24.86118,2,1
35,2032,25.09976,2,1
35,2033,25.41987,2,1
35,2034,25.86206,2,1
35,2035,26.32392,2,1
35,2036,26.64146,2,1
35,2037,26.93514,2,1
35,2038,27.20682,2,1
35,2039,27.45926,2,1
35,2040,27.69391,2,1
35,2041,27.91278,2,1
35,2042,28.11792,2,1
35,2043,28.31082,2,1
35,2044,28.49266,2,1
35,2045,28.66445,2,1
35,2046,28.82697,2,1
35,2047,28.98168,2,1
35,2048,29.12909,2,1
35,2049,29.26984,2,1
35,2050,29.40453,2,1
35,2011,0.3020049,2,2
35,2012,0.3039484,2,2
35,2013,0.3040756,2,2
35,2014,0.30734,2,2
35,2015,0.3102941,2,2
35,2016,0.315008,2,2
35,2017,0.3199055,2,2
35,2018,0.3239552,2,2
35,2019,0.3279218,2,2
35,2020,0.3320947,2,2
35,2021,0.3357325,2,2
35,2022,0.3395067,2,2
35,2023,0.344434,2,2
35,2024,0.349292,2,2
35,2025,0.3542561,2,2
35,2026,0.3593124,2,2
35,2027,0.3643477,2,2
35,2028,0.3694524,2,2
35,2029,0.3735519,2,2
35,2030,0.3786503,2,2
35,2031,0.3828425,2,2
35,2032,0.3870194,2,2
35,2033,0.391262,2,2
35,2034,0.396671,2,2
35,2035,0.4022399,2,2
35,2036,0.4068672,2,2
35,2037,0.4111903,2,2
35,2038,0.4152284,2,2
35,2039,0.4190208,2,2
35,2040,0.4225733,2,2
35,2041,0.4259128,2,2
35,2042,0.4290684,2,2
35,2043,0.4320536,2,2
35,2044,0.4348716,2,2
35,2045,0.4375296,2,2
35,2046,0.4400293,2,2
35,2047,0.4424174,2,2
35,2048,0.4446883,2,2
35,2049,0.4468457,2,2
35,2050,0.4489013,2,2
35,2011,0.377506,2,3
35,2012,0.3799355,2,3
35,2013,0.3800945,2,3
35,2014,0.384175,2,3
35,2015,0.3878676,2,3
35,2016,0.3937599,2,3
35,2017,0.3998818,2,3
35,2018,0.4049441,2,3
35,2019,0.4099022,2,3
35,2020,0.4151184,2,3
35,2021,0.4196655,2,3
35,2022,0.4243834,2,3
35,2023,0.4305425,2,3
35,2024,0.436615,2,3
35,2025,0.4428202,2,3
35,2026,0.4491405,2,3
35,2027,0.4554346,2,3
35,2028,0.4618155,2,3
35,2029,0.4669398,2,3
35,2030,0.4733127,2,3
35,2031,0.4785531,2,3
35,2032,0.4837742,2,3
35,2033,0.4890774,2,3
35,2034,0.4958388,2,3
35,2035,0.5027998,2,3
35,2036,0.5085841,2,3
35,2037,0.5139876,2,3
35,2038,0.5190354,2,3
35,2039,0.523776,2,3
35,2040,0.5282166,2,3
35,2041,0.5323909,2,3
35,2042,0.5363356,2,3
35,2043,0.540067,2,3
35,2044,0.5435895,2,3
35,2045,0.546912,2,3
35,2046,0.5500365,2,3
35,2047,0.5530216,2,3
35,2048,0.5558602,2,3
35,2049,0.558557,2,3
35,2050,0.5611267,2,3
35,2011,0.377506,2,4
35,2012,0.3799355,2,4
35,2013,0.3800945,2,4
35,2014,0.384175,2,4
35,2015,0.3878676,2,4
35,2016,0.3937599,2,4
35,2017,0.3998818,2,4
35,2018,0.4049441,2,4
35,2019,0.4099022,2,4
35,2020,0.4151184,2,4
35,2021,0.4196655,2,4
35,2022,0.4243834,2,4
35,2023,0.4305425,2,4
35,2024,0.436615,2,4
35,2025,0.4428202,2,4
35,2026,0.4491405,2,4
35,2027,0.4554346,2,4
35,2028,0.4618155,2,4
35,2029,0.4669398,2,4
35,2030,0.4733127,2,4
35,2031,0.4785531,2,4
35,2032,0.4837742,2,4
35,2033,0.4890774,2,4
35,2034,0.4958388,2,4
35,2035,0.5027998,2,4
35,2036,0.5085841,2,4
35,2037,0.5139876,2,4
35,2038,0.5190354,2,4
35,2039,0.523776,2,4
35,2040,0.5282166,2,4
35,2041,0.5323909,2,4
35,2042,0.5363356,2,4
35,2043,0.540067,2,4
35,2044,0.5435895,2,4
35,2045,0.546912,2,4
35,2046,0.5500365,2,4
35,2047,0.5530216,2,4
35,2048,0.5558602,2,4
35,2049,0.558557,2,4
35,2050,0.5611267,2,4
35,2011,1.132518,2,5
35,2012,1.139806,2,5
35,2013,1.140283,2,5
35,2014,1.152525,2,5
35,2015,1.163603,2,5
35,2016,1.18128,2,5
35,2017,1.199645,2,5
35,2018,1.214832,2,5
35,2019,1.229706,2,5
35,2020,1.245355,2,5
35,2021,1.258997,2,5
35,2022,1.27315,2,5
35,2023,1.291628,2,5
35,2024,1.309845,2,5
35,2025,1.32846,2,5
35,2026,1.347422,2,5
35,2027,1.366304,2,5
35,2028,1.385446,2,5
35,2029,1.400819,2,5
35,2030,1.419938,2,5
35,2031,1.435659,2,5
35,2032,1.451323,2,5
35,2033,1.467232,2,5
35,2034,1.487516,2,5
35,2035,1.508399,2,5
35,2036,1.525752,2,5
35,2037,1.541963,2,5
35,2038,1.557106,2,5
35,2039,1.571328,2,5
35,2040,1.58465,2,5
35,2041,1.597173,2,5
35,2042,1.609006,2,5
35,2043,1.620201,2,5
35,2044,1.630769,2,5
35,2045,1.640736,2,5
35,2046,1.65011,2,5
35,2047,1.659065,2,5
35,2048,1.667581,2,5
35,2049,1.675671,2,5
35,2050,1.68338,2,5
35,2011,0.07550122,2,6
35,2012,0.07598709,2,6
35,2013,0.07601892,2,6
35,2014,0.076835,2,6
35,2015,0.07757352,2,6
35,2016,0.07875198,2,6
35,2017,0.07997638,2,6
35,2018,0.08098881,2,6
35,2019,0.08198044,2,6
35,2020,0.08302368,2,6
35,2021,0.08393312,2,6
35,2022,0.08487667,2,6
35,2023,0.0861085,2,6
35,2024,0.08732299,2,6
35,2025,0.08856404,2,6
35,2026,0.0898281,2,6
35,2027,0.09108694,2,6
35,2028,0.09236308,2,6
35,2029,0.09338797,2,6
35,2030,0.09466255,2,6
35,2031,0.09571062,2,6
35,2032,0.09675486,2,6
35,2033,0.09781549,2,6
35,2034,0.09916775,2,6
35,2035,0.10056,2,6
35,2036,0.1017168,2,6
35,2037,0.1027976,2,6
35,2038,0.1038071,2,6
35,2039,0.1047552,2,6
35,2040,0.1056434,2,6
35,2041,0.1064782,2,6
35,2042,0.1072671,2,6
35,2043,0.1080134,2,6
35,2044,0.1087179,2,6
35,2045,0.1093824,2,6
35,2046,0.1100073,2,6
35,2047,0.1106043,2,6
35,2048,0.111172,2,6
35,2049,0.1117114,2,6
35,2050,0.1122254,2,6
35,2011,0,2,7
35,2012,0,2,7
35,2013,0,2,7
35,2014,0,2,7
35,2015,0,2,7
35,2016,0,2,7
35,2017,0,2,7
35,2018,0,2,7
35,2019,0,2,7
35,2020,0,2,7
35,2021,0,2,7
35,2022,0,2,7
35,2023,0,2,7
35,2024,0,2,7
35,2025,0,2,7
35,2026,0,2,7
35,2027,0,2,7
35,2028,0,2,7
35,2029,0,2,7
35,2030,0,2,7
35,2031,0,2,7
35,2032,0,2,7
35,2033,0,2,7
35,2034,0,2,7
35,2035,0,2,7
35,2036,0,2,7
35,2037,0,2,7
35,2038,0,2,7
35,2039,0,2,7
35,2040,0,2,7
35,2041,0,2,7
35,2042,0,2,7
35,2043,0,2,7
35,2044,0,2,7
35,2045,0,2,7
35,2046,0,2,7
35,2047,0,2,7
35,2048,0,2,7
35,2049,0,2,7
35,2050,0,2,7
35,2011,30.20049,2,8
35,2012,30.39484,2,8
35,2013,30.40756,2,8
35,2014,30.734,2,8
35,2015,31.02941,2,8
35,2016,31.5008,2,8
35,2017,31.99054,2,8
35,2018,32.39553,2,8
35,2019,32.79217,2,8
35,2020,33.20948,2,8
35,2021,33.57324,2,8
35,2022,33.95067,2,8
35,2023,34.4434,2,8
35,2024,34.9292,2,8
35,2025,35.42562,2,8
35,2026,35.93124,2,8
35,2027,36.43477,2,8
35,2028,36.94524,2,8
35,2029,37.35518,2,8
35,2030,37.86503,2,8
35,2031,38.28425,2,8
35,2032,38.70194,2,8
35,2033,39.12619,2,8
35,2034,39.6671,2,8
35,2035,40.22399,2,8
35,2036,40.68671,2,8
35,2037,41.11903,2,8
35,2038,41.52284,2,8
35,2039,41.90208,2,8
35,2040,42.25733,2,8
35,2041,42.59129,2,8
35,2042,42.90685,2,8
35,2043,43.20537,2,8
35,2044,43.48716,2,8
35,2045,43.75296,2,8
35,2046,44.00293,2,8
35,2047,44.24174,2,8
35,2048,44.46882,2,8
35,2049,44.68457,2,8
35,2050,44.89013,2,8
35,2011,0,2,9
35,2012,0,2,9
35,2013,0,2,9
35,2014,0,2,9
35,2015,0,2,9
35,2016,0,2,9
35,2017,0,2,9
35,2018,0,2,9
35,2019,0,2,9
35,2020,0,2,9
35,2021,0,2,9
35,2022,0,2,9
35,2023,0,2,9
35,2024,0,2,9
35,2025,0,2,9
35,2026,0,2,9
35,2027,0,2,9
35,2028,0,2,9
35,2029,0,2,9
35,2030,0,2,9
35,2031,0,2,9
35,2032,0,2,9
35,2033,0,2,9
35,2034,0,2,9
35,2035,0,2,9
35,2036,0,2,9
35,2037,0,2,9
35,2038,0,2,9
35,2039,0,2,9
35,2040,0,2,9
35,2041,0,2,9
35,2042,0,2,9
35,2043,0,2,9
35,2044,0,2,9
35,2045,0,2,9
35,2046,0,2,9
35,2047,0,2,9
35,2048,0,2,9
35,2049,0,2,9
35,2050,0,2,9
35,2011,131.8822,3,1
35,2012,132.6344,3,1
35,2013,132.6961,3,1
35,2014,133.8765,3,1
35,2015,135.1604,3,1
35,2016,136.97,3,1
35,2017,138.8896,3,1
35,2018,140.6652,3,1
35,2019,142.6213,3,1
35,2020,144.3434,3,1
35,2021,145.8797,3,1
35,2022,147.4212,3,1
35,2023,149.1685,3,1
35,2024,150.8317,3,1
35,2025,152.4895,3,1
35,2026,154.1288,3,1
35,2027,155.8,3,1
35,2028,157.5153,3,1
35,2029,159.0299,3,1
35,2030,160.9641,3,1
35,2031,162.7493,3,1
35,2032,164.6729,3,1
35,2033,166.6936,3,1
35,2034,169.053,3,1
35,2035,171.3767,3,1
35,2036,173.4281,3,1
35,2037,175.3376,3,1
35,2038,177.1149,3,1
35,2039,178.7586,3,1
35,2040,180.2728,3,1
35,2041,181.6996,3,1
35,2042,183.0691,3,1
35,2043,184.3877,3,1
35,2044,185.6418,3,1
35,2045,186.8285,3,1
35,2046,187.9677,3,1
35,2047,189.0563,3,1
35,2048,190.106,3,1
35,2049,191.1114,3,1
35,2050,192.0844,3,1
35,2011,5.063621,3,2
35,2012,5.112928,3,2
35,2013,5.202309,3,2
35,2014,5.346289,3,2
35,2015,5.495414,3,2
35,2016,5.628614,3,2
35,2017,5.733655,3,2
35,2018,5.774726,3,2
35,2019,5.802626,3,2
35,2020,5.847182,3,2
35,2021,5.894017,3,2
35,2022,5.948706,3,2
35,2023,6.018394,3,2
35,2024,6.099698,3,2
35,2025,6.187926,3,2
35,2026,6.271724,3,2
35,2027,6.353923,3,2
35,2028,6.434212,3,2
35,2029,6.51399,3,2
35,2030,6.59282,3,2
35,2031,6.667792,3,2
35,2032,6.738832,3,2
35,2033,6.8067,3,2
35,2034,6.867888,3,2
35,2035,6.925899,3,2
35,2036,6.985296,3,2
35,2037,7.043607,3,2
35,2038,7.101224,3,2
35,2039,7.159939,3,2
35,2040,7.21756,3,2
35,2041,7.273866,3,2
35,2042,7.329603,3,2
35,2043,7.38449,3,2
35,2044,7.437864,3,2
35,2045,7.489456,3,2
35,2046,7.539998,3,2
35,2047,7.589111,3,2
35,2048,7.637023,3,2
35,2049,7.68285,3,2
35,2050,7.727262,3,2
35,2011,0.2270752,3,3
35,2012,0.2253466,3,3
35,2013,0.2223642,3,3
35,2014,0.2222822,3,3
35,2015,0.2228093,3,3
35,2016,0.2251455,3,3
35,2017,0.2280245,3,3
35,2018,0.2306264,3,3
35,2019,0.2328316,3,3
35,2020,0.2365629,3,3
35,2021,0.239639,3,3
35,2022,0.2426868,3,3
35,2023,0.2467828,3,3
35,2024,0.2513882,3,3
35,2025,0.2563619,3,3
35,2026,0.2614529,3,3
35,2027,0.2666052,3,3
35,2028,0.2715817,3,3
35,2029,0.2754529,3,3
35,2030,0.27961,3,3
35,2031,0.2822598,3,3
35,2032,0.2842602,3,3
35,2033,0.2858515,3,3
35,2034,0.2882227,3,3
35,2035,0.2907228,3,3
35,2036,0.2927617,3,3
35,2037,0.2948358,3,3
35,2038,0.2969296,3,3
35,2039,0.2991885,3,3
35,2040,0.3014956,3,3
35,2041,0.3037731,3,3
35,2042,0.3060303,3,3
35,2043,0.3082424,3,3
35,2044,0.3103917,3,3
35,2045,0.3124622,3,3
35,2046,0.3144761,3,3
35,2047,0.3164204,3,3
35,2048,0.3182931,3,3
35,2049,0.3200554,3,3
35,2050,0.3217079,3,3
35,2011,0.2263134,3,4
35,2012,0.2245154,3,4
35,2013,0.2214662,3,4
35,2014,0.2213277,3,4
35,2015,0.2218061,3,4
35,2016,0.224101,3,4
35,2017,0.2269452,3,4
35,2018,0.2295182,3,4
35,2019,0.2316997,3,4
35,2020,0.2354118,3,4
35,2021,0.2384726,3,4
35,2022,0.2415096,3,4
35,2023,0.2455985,3,4
35,2024,0.2501995,3,4
35,2025,0.255171,3,4
35,2026,0.2602616,3,4
35,2027,0.2654154,3,4
35,2028,0.2703949,3,4
35,2029,0.2742695,3,4
35,2030,0.2784309,3,4
35,2031,0.2810863,3,4
35,2032,0.2830933,3,4
35,2033,0.2846922,3,4
35,2034,0.2870721,3,4
35,2035,0.2895818,3,4
35,2036,0.291632,3,4
35,2037,0.2937175,3,4
35,2038,0.2958227,3,4
35,2039,0.298093,3,4
35,2040,0.3004114,3,4
35,2041,0.3027002,3,4
35,2042,0.3049684,3,4
35,2043,0.3071915,3,4
35,2044,0.3093515,3,4
35,2045,0.3114324,3,4
35,2046,0.3134565,3,4
35,2047,0.3154108,3,4
35,2048,0.317292,3,4
35,2049,0.3190617,3,4
35,2050,0.3207214,3,4
35,2011,0.6789401,3,5
35,2012,0.6735461,3,5
35,2013,0.6643988,3,5
35,2014,0.6639832,3,5
35,2015,0.6654184,3,5
35,2016,0.6723028,3,5
35,2017,0.6808357,3,5
35,2018,0.6885546,3,5
35,2019,0.6950992,3,5
35,2020,0.7062354,3,5
35,2021,0.7154178,3,5
35,2022,0.7245286,3,5
35,2023,0.7367957,3,5
35,2024,0.7505986,3,5
35,2025,0.765513,3,5
35,2026,0.7807849,3,5
35,2027,0.7962461,3,5
35,2028,0.8111846,3,5
35,2029,0.8228084,3,5
35,2030,0.835293,3,5
35,2031,0.843259,3,5
35,2032,0.8492799,3,5
35,2033,0.8540766,3,5
35,2034,0.8612163,3,5
35,2035,0.8687454,3,5
35,2036,0.874896,3,5
35,2037,0.8811526,3,5
35,2038,0.887468,3,5
35,2039,0.894279,3,5
35,2040,0.9012343,3,5
35,2041,0.9081007,3,5
35,2042,0.9149055,3,5
