"scenario_id","year","total","end_use_id","fuel_type_id"
25,2011,1.734856,1,1
25,2012,1.676497,1,1
25,2013,1.707677,1,1
25,2014,1.738344,1,1
25,2015,1.768611,1,1
25,2016,1.830939,1,1
25,2017,1.770946,1,1
25,2018,1.796339,1,1
25,2019,1.819658,1,1
25,2020,1.839117,1,1
25,2021,1.916275,1,1
25,2022,1.844898,1,1
25,2023,1.858219,1,1
25,2024,1.866407,1,1
25,2025,1.870095,1,1
25,2026,1.923123,1,1
25,2027,1.828945,1,1
25,2028,1.828719,1,1
25,2029,1.828447,1,1
25,2030,1.828171,1,1
25,2031,1.877408,1,1
25,2032,1.780319,1,1
25,2033,1.780042,1,1
25,2034,1.779766,1,1
25,2035,1.779489,1,1
25,2036,1.826194,1,1
25,2037,1.726596,1,1
25,2038,1.726323,1,1
25,2039,1.72605,1,1
25,2040,1.725778,1,1
25,2041,1.769959,1,1
25,2042,1.628731,1,1
25,2043,1.628731,1,1
25,2044,1.628731,1,1
25,2045,1.628731,1,1
25,2046,1.628731,1,1
25,2047,1.487858,1,1
25,2048,1.487858,1,1
25,2049,1.487858,1,1
25,2050,1.487858,1,1
25,2011,1.123903,1,2
25,2012,1.040218,1,2
25,2013,1.035892,1,2
25,2014,1.033434,1,2
25,2015,1.031829,1,2
25,2016,1.030914,1,2
25,2017,0.9849926,1,2
25,2018,0.9845162,1,2
25,2019,0.9841241,1,2
25,2020,0.9837978,1,2
25,2021,0.983566,1,2
25,2022,0.9429787,1,2
25,2023,0.9428885,1,2
25,2024,0.9428485,1,2
25,2025,0.942835,1,2
25,2026,0.9428318,1,2
25,2027,0.9002548,1,2
25,2028,0.9002547,1,2
25,2029,0.9002547,1,2
25,2030,0.9002547,1,2
25,2031,0.9002547,1,2
25,2032,0.8555044,1,2
25,2033,0.8555044,1,2
25,2034,0.8555044,1,2
25,2035,0.8555044,1,2
25,2036,0.8555044,1,2
25,2037,0.8085805,1,2
25,2038,0.8085805,1,2
25,2039,0.8085805,1,2
25,2040,0.8085805,1,2
25,2041,0.8085805,1,2
25,2042,0.7319557,1,2
25,2043,0.7319557,1,2
25,2044,0.7319557,1,2
25,2045,0.7319557,1,2
25,2046,0.7319557,1,2
25,2047,0.6553309,1,2
25,2048,0.6553309,1,2
25,2049,0.6553309,1,2
25,2050,0.6553309,1,2
25,2011,1.766877,1,8
25,2012,1.677174,1,8
25,2013,1.665687,1,8
25,2014,1.653709,1,8
25,2015,1.642452,1,8
25,2016,1.693072,1,8
25,2017,1.587602,1,8
25,2018,1.581292,1,8
25,2019,1.576394,1,8
25,2020,1.565483,1,8
25,2021,1.644631,1,8
25,2022,1.544634,1,8
25,2023,1.534496,1,8
25,2024,1.528141,1,8
25,2025,1.525046,1,8
25,2026,1.600874,1,8
25,2027,1.514565,1,8
25,2028,1.514121,1,8
25,2029,1.513705,1,8
25,2030,1.513293,1,8
25,2031,1.586335,1,8
25,2032,1.499233,1,8
25,2033,1.498821,1,8
25,2034,1.49841,1,8
25,2035,1.497998,1,8
25,2036,1.567286,1,8
25,2037,1.479255,1,8
25,2038,1.478849,1,8
25,2039,1.478443,1,8
