"scenario_id","source_type","target_type","year","total","source_id","target_id"
42,"FuelType","Sector",2043,0.2550259,1,3
42,"FuelType","Sector",2044,0.2550259,1,3
42,"FuelType","Sector",2045,0.2550259,1,3
42,"FuelType","Sector",2046,0.2550259,1,3
42,"FuelType","Sector",2047,0.2660036,1,3
42,"FuelType","Sector",2048,0.2660036,1,3
42,"FuelType","Sector",2049,0.2660036,1,3
42,"FuelType","Sector",2050,0.2660036,1,3
42,"FuelType","Sector",2011,0.003867772,1,6
42,"FuelType","Sector",2012,0.00411558,1,6
42,"FuelType","Sector",2013,0.00411558,1,6
42,"FuelType","Sector",2014,0.00411558,1,6
42,"FuelType","Sector",2015,0.00411558,1,6
42,"FuelType","Sector",2016,0.00411558,1,6
42,"FuelType","Sector",2017,0.004165375,1,6
42,"FuelType","Sector",2018,0.004165375,1,6
42,"FuelType","Sector",2019,0.004165375,1,6
42,"FuelType","Sector",2020,0.004165375,1,6
42,"FuelType","Sector",2021,0.004165375,1,6
42,"FuelType","Sector",2022,0.006115701,1,6
42,"FuelType","Sector",2023,0.006115701,1,6
42,"FuelType","Sector",2024,0.006115701,1,6
42,"FuelType","Sector",2025,0.006115701,1,6
42,"FuelType","Sector",2026,0.006115701,1,6
42,"FuelType","Sector",2027,0.008066027,1,6
42,"FuelType","Sector",2028,0.008066027,1,6
42,"FuelType","Sector",2029,0.008066027,1,6
42,"FuelType","Sector",2030,0.008066027,1,6
42,"FuelType","Sector",2031,0.008066027,1,6
42,"FuelType","Sector",2032,0.01001635,1,6
42,"FuelType","Sector",2033,0.01001635,1,6
42,"FuelType","Sector",2034,0.01001635,1,6
42,"FuelType","Sector",2035,0.01001635,1,6
42,"FuelType","Sector",2036,0.01001635,1,6
42,"FuelType","Sector",2037,0.01196668,1,6
42,"FuelType","Sector",2038,0.01196668,1,6
42,"FuelType","Sector",2039,0.01196668,1,6
42,"FuelType","Sector",2040,0.01196668,1,6
42,"FuelType","Sector",2041,0.01196668,1,6
42,"FuelType","Sector",2042,0.013917,1,6
42,"FuelType","Sector",2043,0.013917,1,6
42,"FuelType","Sector",2044,0.013917,1,6
42,"FuelType","Sector",2045,0.013917,1,6
42,"FuelType","Sector",2046,0.013917,1,6
42,"FuelType","Sector",2047,0.01586733,1,6
42,"FuelType","Sector",2048,0.01586733,1,6
42,"FuelType","Sector",2049,0.01586733,1,6
42,"FuelType","Sector",2050,0.01586733,1,6
42,"FuelType","Sector",2011,0.06126102,2,1
42,"FuelType","Sector",2012,0.01234566,2,1
42,"FuelType","Sector",2013,0.007969745,2,1
42,"FuelType","Sector",2014,0.005479041,2,1
42,"FuelType","Sector",2015,0.003847359,2,1
42,"FuelType","Sector",2016,0.002829837,2,1
42,"FuelType","Sector",2017,0.002139585,2,1
42,"FuelType","Sector",2018,0.001612125,2,1
42,"FuelType","Sector",2019,0.001164488,2,1
42,"FuelType","Sector",2020,0.0008672077,2,1
42,"FuelType","Sector",2021,0.0006744551,2,1
42,"FuelType","Sector",2022,0.0005462126,2,1
42,"FuelType","Sector",2023,0.0004768199,2,1
42,"FuelType","Sector",2024,0.0004496717,2,1
42,"FuelType","Sector",2025,0.000445326,2,1
42,"FuelType","Sector",2026,0.0004497718,2,1
42,"FuelType","Sector",2027,0.0004567575,2,1
42,"FuelType","Sector",2028,0.0004641592,2,1
42,"FuelType","Sector",2029,0.000471609,2,1
42,"FuelType","Sector",2030,0.0004790621,2,1
42,"FuelType","Sector",2031,0.0004865154,2,1
42,"FuelType","Sector",2032,0.0004939687,2,1
42,"FuelType","Sector",2033,0.0005014219,2,1
42,"FuelType","Sector",2034,0.0005088752,2,1
42,"FuelType","Sector",2035,0.0005163285,2,1
42,"FuelType","Sector",2036,0.0005237818,2,1
42,"FuelType","Sector",2037,0.0005312351,2,1
42,"FuelType","Sector",2038,0.0005386884,2,1
42,"FuelType","Sector",2039,0.0005461417,2,1
42,"FuelType","Sector",2040,0.000553595,2,1
42,"FuelType","Sector",2041,0.0005610483,2,1
42,"FuelType","Sector",2042,0.0005689697,2,1
42,"FuelType","Sector",2043,0.000576891,2,1
42,"FuelType","Sector",2044,0.0005848123,2,1
42,"FuelType","Sector",2045,0.0005927337,2,1
42,"FuelType","Sector",2046,0.0006006551,2,1
42,"FuelType","Sector",2047,0.0006082599,2,1
42,"FuelType","Sector",2048,0.0006158647,2,1
42,"FuelType","Sector",2049,0.0006234695,2,1
42,"FuelType","Sector",2050,0.0006310743,2,1
42,"FuelType","Sector",2011,1.601818,2,2
42,"FuelType","Sector",2012,1.626609,2,2
42,"FuelType","Sector",2013,1.626609,2,2
42,"FuelType","Sector",2014,1.626609,2,2
42,"FuelType","Sector",2015,1.626609,2,2
42,"FuelType","Sector",2016,1.626609,2,2
