"scenario_id","year","total","sector_id","fuel_type_id"
44,2039,0.09236361,1,5
44,2040,0.09318647,1,5
44,2041,0.09399298,1,5
44,2042,0.0947865,1,5
44,2043,0.09558064,1,5
44,2044,0.09637498,1,5
44,2045,0.09716958,1,5
44,2046,0.09839869,1,5
44,2047,0.09962641,1,5
44,2048,0.1008542,1,5
44,2049,0.1020821,1,5
44,2050,0.1033102,1,5
44,2011,1.633236,2,1
44,2012,1.621157,2,1
44,2013,1.621157,2,1
44,2014,1.621157,2,1
44,2015,1.621157,2,1
44,2016,1.621157,2,1
44,2017,1.627937,2,1
44,2018,1.627937,2,1
44,2019,1.627937,2,1
44,2020,1.627937,2,1
44,2021,1.627937,2,1
44,2022,1.642187,2,1
44,2023,1.642187,2,1
44,2024,1.642187,2,1
44,2025,1.642187,2,1
44,2026,1.642187,2,1
44,2027,1.653454,2,1
44,2028,1.653454,2,1
44,2029,1.653454,2,1
44,2030,1.653454,2,1
44,2031,1.653454,2,1
44,2032,1.661736,2,1
44,2033,1.661736,2,1
44,2034,1.661736,2,1
44,2035,1.661736,2,1
44,2036,1.661736,2,1
44,2037,1.667034,2,1
44,2038,1.667034,2,1
44,2039,1.667034,2,1
44,2040,1.667034,2,1
44,2041,1.667034,2,1
44,2042,1.624931,2,1
44,2043,1.624931,2,1
44,2044,1.624931,2,1
44,2045,1.624931,2,1
44,2046,1.624931,2,1
44,2047,1.582827,2,1
44,2048,1.582827,2,1
44,2049,1.582827,2,1
44,2050,1.582827,2,1
44,2011,9.609965,2,2
44,2012,9.614496,2,2
44,2013,9.614496,2,2
44,2014,9.614496,2,2
44,2015,9.614496,2,2
44,2016,9.614496,2,2
44,2017,9.74099,2,2
44,2018,9.74099,2,2
44,2019,9.74099,2,2
44,2020,9.74099,2,2
44,2021,9.74099,2,2
44,2022,9.918933,2,2
44,2023,9.918933,2,2
44,2024,9.918933,2,2
44,2025,9.918933,2,2
44,2026,9.918933,2,2
44,2027,10.08385,2,2
44,2028,10.08385,2,2
44,2029,10.08385,2,2
44,2030,10.08385,2,2
44,2031,10.08385,2,2
44,2032,10.23573,2,2
44,2033,10.23573,2,2
44,2034,10.23573,2,2
44,2035,10.23573,2,2
44,2036,10.23573,2,2
44,2037,10.37458,2,2
44,2038,10.37458,2,2
44,2039,10.37458,2,2
44,2040,10.37458,2,2
44,2041,10.37458,2,2
44,2042,10.1907,2,2
44,2043,10.1907,2,2
