"scenario_id","aggStationaryEndUse_energyDet","year","total","sector_id","fuel_type_id"
10,"Space_Heating",2050,0.8418166,1,8
10,"Space_Heating",2011,0.01222297,1,9
10,"Space_Heating",2012,0.001504565,1,9
10,"Space_Heating",2013,0.0002088811,1,9
10,"Space_Heating",2014,3.194722e-05,1,9
10,"Space_Heating",2015,5.147783e-06,1,9
10,"Space_Heating",2016,8.422309e-07,1,9
10,"Space_Heating",2017,1.366149e-07,1,9
10,"Space_Heating",2018,2.149859e-08,1,9
10,"Space_Heating",2019,3.190326e-09,1,9
10,"Space_Heating",2020,4.302396e-10,1,9
10,"Space_Heating",2021,5.107752e-11,1,9
10,"Space_Heating",2022,5.162115e-12,1,9
10,"Space_Heating",2023,4.254325e-13,1,9
10,"Space_Heating",2024,2.735117e-14,1,9
10,"Space_Heating",2025,1.312547e-15,1,9
10,"Space_Heating",2026,4.50325e-17,1,9
10,"Space_Heating",2027,1.059128e-18,1,9
10,"Space_Heating",2028,1.638654e-20,1,9
10,"Space_Heating",2029,1.601367e-22,1,9
10,"Space_Heating",2030,9.494049e-25,1,9
10,"Space_Heating",2031,3.280475e-27,1,9
10,"Space_Heating",2032,6.346736e-30,1,9
10,"Space_Heating",2033,6.605601e-33,1,9
10,"Space_Heating",2034,3.553443e-36,1,9
10,"Space_Heating",2035,9.492771e-40,1,9
10,"Space_Heating",2036,1.209981e-43,1,9
10,"Space_Heating",2037,7.070475e-48,1,9
10,"Space_Heating",2038,1.819942e-52,1,9
10,"Space_Heating",2039,1.982837e-57,1,9
10,"Space_Heating",2040,0,1,9
10,"Space_Heating",2041,0,1,9
10,"Space_Heating",2042,0,1,9
10,"Space_Heating",2043,0,1,9
10,"Space_Heating",2044,0,1,9
10,"Space_Heating",2045,0,1,9
10,"Space_Heating",2046,0,1,9
10,"Space_Heating",2047,0,1,9
10,"Space_Heating",2048,0,1,9
10,"Space_Heating",2049,0,1,9
10,"Space_Heating",2050,0,1,9
10,"Space_Cooling",2011,0,1,1
10,"Space_Cooling",2012,0,1,1
10,"Space_Cooling",2013,0,1,1
10,"Space_Cooling",2014,0,1,1
10,"Space_Cooling",2015,0,1,1
10,"Space_Cooling",2016,0,1,1
10,"Space_Cooling",2017,0,1,1
10,"Space_Cooling",2018,0,1,1
10,"Space_Cooling",2019,0,1,1
10,"Space_Cooling",2020,0,1,1
10,"Space_Cooling",2021,0,1,1
10,"Space_Cooling",2022,0,1,1
10,"Space_Cooling",2023,0,1,1
10,"Space_Cooling",2024,0,1,1
10,"Space_Cooling",2025,0,1,1
10,"Space_Cooling",2026,0,1,1
10,"Space_Cooling",2027,0,1,1
10,"Space_Cooling",2028,0,1,1
10,"Space_Cooling",2029,0,1,1
10,"Space_Cooling",2030,0,1,1
10,"Space_Cooling",2031,0,1,1
10,"Space_Cooling",2032,0,1,1
10,"Space_Cooling",2033,0,1,1
10,"Space_Cooling",2034,0,1,1
10,"Space_Cooling",2035,0,1,1
10,"Space_Cooling",2036,0,1,1
10,"Space_Cooling",2037,0,1,1
10,"Space_Cooling",2038,0,1,1
10,"Space_Cooling",2039,0,1,1
10,"Space_Cooling",2040,0,1,1
10,"Space_Cooling",2041,0,1,1
10,"Space_Cooling",2042,0,1,1
10,"Space_Cooling",2043,0,1,1
10,"Space_Cooling",2044,0,1,1
10,"Space_Cooling",2045,0,1,1
10,"Space_Cooling",2046,0,1,1
10,"Space_Cooling",2047,0,1,1
10,"Space_Cooling",2048,0,1,1
10,"Space_Cooling",2049,0,1,1
10,"Space_Cooling",2050,0,1,1
10,"Space_Cooling",2011,0,1,2
10,"Space_Cooling",2012,0,1,2
10,"Space_Cooling",2013,0,1,2
10,"Space_Cooling",2014,0,1,2
10,"Space_Cooling",2015,0,1,2
10,"Space_Cooling",2016,0,1,2
10,"Space_Cooling",2017,0,1,2
10,"Space_Cooling",2018,0,1,2
10,"Space_Cooling",2019,0,1,2
10,"Space_Cooling",2020,0,1,2
10,"Space_Cooling",2021,0,1,2
10,"Space_Cooling",2022,0,1,2
10,"Space_Cooling",2023,0,1,2
10,"Space_Cooling",2024,0,1,2
10,"Space_Cooling",2025,0,1,2
10,"Space_Cooling",2026,0,1,2
10,"Space_Cooling",2027,0,1,2
10,"Space_Cooling",2028,0,1,2
10,"Space_Cooling",2029,0,1,2
10,"Space_Cooling",2030,0,1,2
10,"Space_Cooling",2031,0,1,2
10,"Space_Cooling",2032,0,1,2
10,"Space_Cooling",2033,0,1,2
10,"Space_Cooling",2034,0,1,2
10,"Space_Cooling",2035,0,1,2
10,"Space_Cooling",2036,0,1,2
10,"Space_Cooling",2037,0,1,2
10,"Space_Cooling",2038,0,1,2
10,"Space_Cooling",2039,0,1,2
10,"Space_Cooling",2040,0,1,2
10,"Space_Cooling",2041,0,1,2
10,"Space_Cooling",2042,0,1,2
10,"Space_Cooling",2043,0,1,2
10,"Space_Cooling",2044,0,1,2
10,"Space_Cooling",2045,0,1,2
10,"Space_Cooling",2046,0,1,2
10,"Space_Cooling",2047,0,1,2
10,"Space_Cooling",2048,0,1,2
10,"Space_Cooling",2049,0,1,2
10,"Space_Cooling",2050,0,1,2
10,"Space_Cooling",2011,0.02645872,1,8
10,"Space_Cooling",2012,0.02442513,1,8
10,"Space_Cooling",2013,0.02457804,1,8
10,"Space_Cooling",2014,0.02482403,1,8
10,"Space_Cooling",2015,0.02518814,1,8
10,"Space_Cooling",2016,0.02568772,1,8
10,"Space_Cooling",2017,0.0263522,1,8
10,"Space_Cooling",2018,0.02710679,1,8
10,"Space_Cooling",2019,0.02787784,1,8
10,"Space_Cooling",2020,0.02865159,1,8
10,"Space_Cooling",2021,0.02939749,1,8
10,"Space_Cooling",2022,0.03009084,1,8
10,"Space_Cooling",2023,0.0307833,1,8
10,"Space_Cooling",2024,0.03155235,1,8
10,"Space_Cooling",2025,0.03243471,1,8
10,"Space_Cooling",2026,0.03339989,1,8
10,"Space_Cooling",2027,0.03434076,1,8
10,"Space_Cooling",2028,0.03508369,1,8
10,"Space_Cooling",2029,0.03552933,1,8
10,"Space_Cooling",2030,0.03572344,1,8
10,"Space_Cooling",2031,0.03578311,1,8
10,"Space_Cooling",2032,0.03579589,1,8
10,"Space_Cooling",2033,0.0357977,1,8
10,"Space_Cooling",2034,0.03579787,1,8
10,"Space_Cooling",2035,0.03579788,1,8
10,"Space_Cooling",2036,0.03579788,1,8
10,"Space_Cooling",2037,0.03579788,1,8
10,"Space_Cooling",2038,0.03579788,1,8
10,"Space_Cooling",2039,0.03579788,1,8
10,"Space_Cooling",2040,0.03579788,1,8
10,"Space_Cooling",2041,0.03579788,1,8
10,"Space_Cooling",2042,0.03579788,1,8
10,"Space_Cooling",2043,0.0357979,1,8
10,"Space_Cooling",2044,0.03579794,1,8
10,"Space_Cooling",2045,0.03579799,1,8
10,"Space_Cooling",2046,0.03579804,1,8
10,"Space_Cooling",2047,0.03579808,1,8
10,"Space_Cooling",2048,0.03579811,1,8
10,"Space_Cooling",2049,0.03579812,1,8
10,"Space_Cooling",2050,0.03579812,1,8
10,"Space_Cooling",2011,0,1,9
10,"Space_Cooling",2012,0,1,9
10,"Space_Cooling",2013,0,1,9
10,"Space_Cooling",2014,0,1,9
10,"Space_Cooling",2015,0,1,9
10,"Space_Cooling",2016,0,1,9
10,"Space_Cooling",2017,0,1,9
10,"Space_Cooling",2018,0,1,9
10,"Space_Cooling",2019,0,1,9
10,"Space_Cooling",2020,0,1,9
10,"Space_Cooling",2021,0,1,9
10,"Space_Cooling",2022,0,1,9
10,"Space_Cooling",2023,0,1,9
10,"Space_Cooling",2024,0,1,9
10,"Space_Cooling",2025,0,1,9
10,"Space_Cooling",2026,0,1,9
10,"Space_Cooling",2027,0,1,9
10,"Space_Cooling",2028,0,1,9
10,"Space_Cooling",2029,0,1,9
10,"Space_Cooling",2030,0,1,9
10,"Space_Cooling",2031,0,1,9
10,"Space_Cooling",2032,0,1,9
10,"Space_Cooling",2033,0,1,9
10,"Space_Cooling",2034,0,1,9
10,"Space_Cooling",2035,0,1,9
10,"Space_Cooling",2036,0,1,9
10,"Space_Cooling",2037,0,1,9
10,"Space_Cooling",2038,0,1,9
10,"Space_Cooling",2039,0,1,9
10,"Space_Cooling",2040,0,1,9
10,"Space_Cooling",2041,0,1,9
10,"Space_Cooling",2042,0,1,9
10,"Space_Cooling",2043,0,1,9
10,"Space_Cooling",2044,0,1,9
10,"Space_Cooling",2045,0,1,9
10,"Space_Cooling",2046,0,1,9
10,"Space_Cooling",2047,0,1,9
