"scenario_id","year","total","sector_id","fuel_type_id"
25,2011,0.2211428,1,1
25,2012,0.2510782,1,1
25,2013,0.2833735,1,1
25,2014,0.3153251,1,1
25,2015,0.3469344,1,1
25,2016,0.3812328,1,1
25,2017,0.4124939,1,1
25,2018,0.4406558,1,1
25,2019,0.4664559,1,1
25,2020,0.4883433,1,1
25,2021,0.5117078,1,1
25,2022,0.5341261,1,1
25,2023,0.5527172,1,1
25,2024,0.5656025,1,1
25,2025,0.573425,1,1
25,2026,0.5762168,1,1
25,2027,0.5778479,1,1
25,2028,0.5791723,1,1
25,2029,0.5804423,1,1
25,2030,0.5817082,1,1
25,2031,0.5827474,1,1
25,2032,0.5837895,1,1
25,2033,0.5848323,1,1
25,2034,0.5858788,1,1
25,2035,0.5869261,1,1
25,2036,0.5877457,1,1
25,2037,0.5885677,1,1
25,2038,0.5893923,1,1
25,2039,0.5902177,1,1
25,2040,0.5910439,1,1
25,2041,0.5916463,1,1
25,2042,0.5920763,1,1
25,2043,0.5925099,1,1
25,2044,0.5929471,1,1
25,2045,0.5933876,1,1
25,2046,0.600053,1,1
25,2047,0.6067318,1,1
25,2048,0.6134136,1,1
25,2049,0.6201013,1,1
25,2050,0.6267911,1,1
25,2011,0.06126102,1,2
25,2012,0.01279031,1,2
25,2013,0.008256957,1,2
25,2014,0.005675453,1,2
25,2015,0.003983797,1,2
25,2016,0.002921486,1,2
25,2017,0.002194238,1,2
25,2018,0.001644844,1,2
25,2019,0.001187418,1,2
25,2020,0.0008819376,1,2
25,2021,0.0006850097,1,2
25,2022,0.0005559489,1,2
25,2023,0.0004866253,1,2
25,2024,0.0004599514,1,2
25,2025,0.0004560963,1,2
25,2026,0.0004609631,1,2
25,2027,0.0004689315,1,2
25,2028,0.0004773052,1,2
25,2029,0.0004857251,1,2
25,2030,0.0004941481,1,2
25,2031,0.0005025713,1,2
25,2032,0.0005109945,1,2
25,2033,0.0005194177,1,2
25,2034,0.0005278409,1,2
25,2035,0.0005362641,1,2
25,2036,0.0005446873,1,2
25,2037,0.0005531105,1,2
25,2038,0.0005615337,1,2
25,2039,0.0005699569,1,2
25,2040,0.0005783801,1,2
25,2041,0.0005868034,1,2
25,2042,0.0005947099,1,2
25,2043,0.0006026164,1,2
25,2044,0.0006105229,1,2
25,2045,0.0006184294,1,2
25,2046,0.000626336,1,2
25,2047,0.0006339408,1,2
25,2048,0.0006415456,1,2
25,2049,0.0006491504,1,2
25,2050,0.0006567552,1,2
25,2011,1.712654,1,8
25,2012,1.601331,1,8
25,2013,1.571861,1,8
25,2014,1.541135,1,8
25,2015,1.510282,1,8
25,2016,1.490725,1,8
25,2017,1.467095,1,8
25,2018,1.44601,1,8
25,2019,1.427721,1,8
25,2020,1.418395,1,8
25,2021,1.420546,1,8
25,2022,1.423364,1,8
25,2023,1.42882,1,8
25,2024,1.438321,1,8
25,2025,1.451431,1,8
25,2026,1.465184,1,8
25,2027,1.479771,1,8
25,2028,1.494356,1,8
25,2029,1.508694,1,8
25,2030,1.522806,1,8
25,2031,1.536469,1,8
25,2032,1.550092,1,8
25,2033,1.563706,1,8
25,2034,1.577323,1,8
25,2035,1.590942,1,8
25,2036,1.604233,1,8
25,2037,1.617527,1,8
25,2038,1.630825,1,8
25,2039,1.644124,1,8
25,2040,1.657424,1,8
25,2041,1.670402,1,8
25,2042,1.683121,1,8
25,2043,1.695843,1,8
25,2044,1.708571,1,8
25,2045,1.721304,1,8
25,2046,1.742974,1,8
25,2047,1.764616,1,8
25,2048,1.786262,1,8
25,2049,1.807916,1,8
25,2050,1.829573,1,8
25,2011,0.02349078,1,9
25,2012,0.001460716,1,9
25,2013,0.0002234996,1,9
25,2014,6.535867e-05,1,9
25,2015,5.079344e-05,1,9
25,2016,5.761655e-05,1,9
25,2017,7.909703e-05,1,9
25,2018,0.000117605,1,9
25,2019,0.0002134068,1,9
25,2020,0.0008293954,1,9
25,2021,0.001563506,1,9
25,2022,0.002108293,1,9
25,2023,0.002455314,1,9
25,2024,0.002647,1,9
