"scenario_id","aggStationaryEndUse_energyDet","year","total","sector_id","fuel_type_id"
12,"Space_Heating",2011,0.2206743,1,1
12,"Space_Heating",2012,0.2733253,1,1
12,"Space_Heating",2013,0.3255056,1,1
12,"Space_Heating",2014,0.3798472,1,1
12,"Space_Heating",2015,0.4358497,1,1
12,"Space_Heating",2016,0.4932823,1,1
12,"Space_Heating",2017,0.5452049,1,1
12,"Space_Heating",2018,0.5936015,1,1
12,"Space_Heating",2019,0.6399144,1,1
12,"Space_Heating",2020,0.6826446,1,1
12,"Space_Heating",2021,0.7247784,1,1
12,"Space_Heating",2022,0.7611039,1,1
12,"Space_Heating",2023,0.7909708,1,1
12,"Space_Heating",2024,0.8136887,1,1
12,"Space_Heating",2025,0.8302142,1,1
12,"Space_Heating",2026,0.8431595,1,1
12,"Space_Heating",2027,0.8506916,1,1
12,"Space_Heating",2028,0.8578524,1,1
12,"Space_Heating",2029,0.8649473,1,1
12,"Space_Heating",2030,0.8720343,1,1
12,"Space_Heating",2031,0.8791208,1,1
12,"Space_Heating",2032,0.8831972,1,1
12,"Space_Heating",2033,0.8872736,1,1
12,"Space_Heating",2034,0.8913501,1,1
12,"Space_Heating",2035,0.8954265,1,1
12,"Space_Heating",2036,0.8995029,1,1
12,"Space_Heating",2037,0.9011714,1,1
12,"Space_Heating",2038,0.9028399,1,1
12,"Space_Heating",2039,0.9045083,1,1
12,"Space_Heating",2040,0.9061768,1,1
12,"Space_Heating",2041,0.9078452,1,1
12,"Space_Heating",2042,0.9078452,1,1
12,"Space_Heating",2043,0.9078452,1,1
12,"Space_Heating",2044,0.9078452,1,1
12,"Space_Heating",2045,0.9078452,1,1
12,"Space_Heating",2046,0.9078452,1,1
12,"Space_Heating",2047,0.9078452,1,1
12,"Space_Heating",2048,0.9078452,1,1
12,"Space_Heating",2049,0.9078452,1,1
12,"Space_Heating",2050,0.9078452,1,1
12,"Space_Heating",2011,0.03842248,1,2
12,"Space_Heating",2012,0.01333444,1,2
12,"Space_Heating",2013,0.008759129,1,2
12,"Space_Heating",2014,0.006080197,1,2
12,"Space_Heating",2015,0.00427433,1,2
12,"Space_Heating",2016,0.003110897,1,2
12,"Space_Heating",2017,0.00229467,1,2
12,"Space_Heating",2018,0.001692851,1,2
12,"Space_Heating",2019,0.001189135,1,2
12,"Space_Heating",2020,0.0007632398,1,2
12,"Space_Heating",2021,0.0004336738,1,2
12,"Space_Heating",2022,0.0002014143,1,2
12,"Space_Heating",2023,7.812176e-05,1,2
12,"Space_Heating",2024,2.365681e-05,1,2
12,"Space_Heating",2025,5.340118e-06,1,2
12,"Space_Heating",2026,8.606476e-07,1,2
12,"Space_Heating",2027,9.478658e-08,1,2
12,"Space_Heating",2028,6.867038e-09,1,2
12,"Space_Heating",2029,3.143316e-10,1,2
12,"Space_Heating",2030,8.732963e-12,1,2
12,"Space_Heating",2031,1.414736e-13,1,2
12,"Space_Heating",2032,1.281897e-15,1,2
12,"Space_Heating",2033,6.25172e-18,1,2
12,"Space_Heating",2034,1.576591e-20,1,2
12,"Space_Heating",2035,1.975238e-23,1,2
12,"Space_Heating",2036,1.181169e-26,1,2
12,"Space_Heating",2037,3.235326e-30,1,2
12,"Space_Heating",2038,3.904445e-34,1,2
12,"Space_Heating",2039,1.994579e-38,1,2
12,"Space_Heating",2040,4.143909e-43,1,2
12,"Space_Heating",2041,8.611747e-48,1,2
12,"Space_Heating",2042,1.797337e-52,1,2
12,"Space_Heating",2043,3.751276e-57,1,2
12,"Space_Heating",2044,0,1,2
12,"Space_Heating",2045,0,1,2
12,"Space_Heating",2046,0,1,2
12,"Space_Heating",2047,0,1,2
12,"Space_Heating",2048,0,1,2
12,"Space_Heating",2049,0,1,2
12,"Space_Heating",2050,0,1,2
12,"Space_Heating",2011,0.9555124,1,8
12,"Space_Heating",2012,1.023518,1,8
12,"Space_Heating",2013,1.054881,1,8
12,"Space_Heating",2014,1.083719,1,8
12,"Space_Heating",2015,1.111746,1,8
12,"Space_Heating",2016,1.139347,1,8
12,"Space_Heating",2017,1.15375,1,8
12,"Space_Heating",2018,1.171534,1,8
12,"Space_Heating",2019,1.190799,1,8
12,"Space_Heating",2020,1.203364,1,8
12,"Space_Heating",2021,1.212299,1,8
12,"Space_Heating",2022,1.210599,1,8
12,"Space_Heating",2023,1.213594,1,8
12,"Space_Heating",2024,1.221825,1,8
12,"Space_Heating",2025,1.234534,1,8
12,"Space_Heating",2026,1.249768,1,8
12,"Space_Heating",2027,1.259999,1,8
12,"Space_Heating",2028,1.270466,1,8
12,"Space_Heating",2029,1.280972,1,8
12,"Space_Heating",2030,1.291483,1,8
12,"Space_Heating",2031,1.301993,1,8
12,"Space_Heating",2032,1.308041,1,8
12,"Space_Heating",2033,1.314088,1,8
12,"Space_Heating",2034,1.320136,1,8
12,"Space_Heating",2035,1.326183,1,8
12,"Space_Heating",2036,1.332231,1,8
12,"Space_Heating",2037,1.334708,1,8
12,"Space_Heating",2038,1.337185,1,8
12,"Space_Heating",2039,1.339662,1,8
12,"Space_Heating",2040,1.342139,1,8
12,"Space_Heating",2041,1.344616,1,8
12,"Space_Heating",2042,1.344616,1,8
12,"Space_Heating",2043,1.344616,1,8
12,"Space_Heating",2044,1.344616,1,8
12,"Space_Heating",2045,1.344616,1,8
12,"Space_Heating",2046,1.344616,1,8
