"scenario_id","zone_id","year","total","sector_id","fuel_type_id"
21,1,2011,5.285592e-05,1,1
21,1,2012,6.094755e-05,1,1
21,1,2013,6.868553e-05,1,1
21,1,2014,7.638184e-05,1,1
21,1,2015,8.400534e-05,1,1
21,1,2016,9.15454e-05,1,1
21,1,2017,9.855237e-05,1,1
21,1,2018,0.0001048609,1,1
21,1,2019,0.000110704,1,1
21,1,2020,0.0001159203,1,1
21,1,2021,0.0001208978,1,1
21,1,2022,0.0001256555,1,1
21,1,2023,0.0001294376,1,1
21,1,2024,0.000131748,1,1
21,1,2025,0.0001327461,1,1
21,1,2026,0.0001329771,1,1
21,1,2027,0.000132906,1,1
21,1,2028,0.0001327544,1,1
21,1,2029,0.0001325883,1,1
21,1,2030,0.0001324205,1,1
21,1,2031,0.0001322526,1,1
21,1,2032,0.0001320846,1,1
21,1,2033,0.0001319167,1,1
21,1,2034,0.0001317487,1,1
21,1,2035,0.0001315807,1,1
21,1,2036,0.0001314128,1,1
21,1,2037,0.0001312448,1,1
21,1,2038,0.0001310769,1,1
21,1,2039,0.0001309089,1,1
21,1,2040,0.0001307409,1,1
21,1,2041,0.000130573,1,1
21,1,2042,0.0001303652,1,1
21,1,2043,0.0001301574,1,1
21,1,2044,0.0001299497,1,1
21,1,2045,0.0001297419,1,1
21,1,2046,0.0001317647,1,1
21,1,2047,0.0001337891,1,1
21,1,2048,0.0001358135,1,1
21,1,2049,0.0001378379,1,1
21,1,2050,0.0001398623,1,1
21,1,2011,1.26824e-05,1,2
21,1,2012,3.152724e-06,1,2
21,1,2013,2.066896e-06,1,2
21,1,2014,1.423771e-06,1,2
21,1,2015,9.964824e-07,1,2
21,1,2016,7.2409e-07,1,2
21,1,2017,5.427023e-07,1,2
21,1,2018,4.046346e-07,1,2
21,1,2019,2.869055e-07,1,2
21,1,2020,1.983454e-07,1,2
21,1,2021,1.368339e-07,1,2
21,1,2022,9.520576e-08,1,2
21,1,2023,7.161096e-08,1,2
21,1,2024,6.101957e-08,1,2
21,1,2025,5.743829e-08,1,2
21,1,2026,5.656507e-08,1,2
21,1,2027,5.641751e-08,1,2
