"scenario_id","year","total","end_use_id","fuel_type_id"
18,2011,1.734856,1,1
18,2012,1.789198,1,1
18,2013,1.822371,1,1
18,2014,1.854979,1,1
18,2015,1.887131,1,1
18,2016,1.95272,1,1
18,2017,2.019935,1,1
18,2018,2.048433,1,1
18,2019,2.074555,1,1
18,2020,2.096553,1,1
18,2021,2.181738,1,1
18,2022,2.248489,1,1
18,2023,2.264694,1,1
18,2024,2.27467,1,1
18,2025,2.279193,1,1
18,2026,2.340419,1,1
18,2027,2.38635,1,1
18,2028,2.386083,1,1
18,2029,2.385757,1,1
18,2030,2.385455,1,1
18,2031,2.445268,1,1
18,2032,2.490792,1,1
18,2033,2.490456,1,1
18,2034,2.49012,1,1
18,2035,2.489784,1,1
18,2036,2.549636,1,1
18,2037,2.595162,1,1
18,2038,2.594825,1,1
18,2039,2.594488,1,1
18,2040,2.594151,1,1
18,2041,2.654006,1,1
18,2042,2.63965,1,1
18,2043,2.63965,1,1
18,2044,2.63965,1,1
18,2045,2.63965,1,1
18,2046,2.63965,1,1
18,2047,2.625295,1,1
18,2048,2.625295,1,1
18,2049,2.625295,1,1
18,2050,2.625295,1,1
18,2011,1.123903,1,2
18,2012,1.111036,1,2
18,2013,1.106411,1,2
18,2014,1.103785,1,2
18,2015,1.102071,1,2
18,2016,1.101093,1,2
18,2017,1.127841,1,2
18,2018,1.127299,1,2
18,2019,1.126854,1,2
18,2020,1.126484,1,2
18,2021,1.126221,1,2
18,2022,1.161105,1,2
18,2023,1.160996,1,2
18,2024,1.160948,1,2
18,2025,1.160932,1,2
18,2026,1.160928,1,2
18,2027,1.196008,1,2
18,2028,1.196008,1,2
18,2029,1.196008,1,2
18,2030,1.196008,1,2
18,2031,1.196008,1,2
18,2032,1.231089,1,2
18,2033,1.231089,1,2
18,2034,1.231089,1,2
18,2035,1.231089,1,2
18,2036,1.231089,1,2
18,2037,1.266171,1,2
18,2038,1.266171,1,2
18,2039,1.266171,1,2
18,2040,1.266171,1,2
18,2041,1.266171,1,2
18,2042,1.258508,1,2
18,2043,1.258508,1,2
18,2044,1.258508,1,2
18,2045,1.258508,1,2
18,2046,1.258508,1,2
18,2047,1.250845,1,2
18,2048,1.250845,1,2
18,2049,1.250845,1,2
18,2050,1.250845,1,2
18,2011,1.766877,1,8
18,2012,1.79071,1,8
18,2013,1.778073,1,8
18,2014,1.764929,1,8
18,2015,1.75254,1,8
18,2016,1.80476,1,8
18,2017,1.807642,1,8
18,2018,1.799699,1,8
18,2019,1.793393,1,8
18,2020,1.780795,1,8
18,2021,1.866807,1,8
18,2022,1.871971,1,8
18,2023,1.859708,1,8
18,2024,1.852035,1,8
18,2025,1.848338,1,8
18,2026,1.93569,1,8
18,2027,1.95588,1,8
18,2028,1.955348,1,8
18,2029,1.954852,1,8
18,2030,1.954403,1,8
18,2031,2.043097,1,8
18,2032,2.063545,1,8
18,2033,2.063049,1,8
18,2034,2.062554,1,8
18,2035,2.062058,1,8
18,2036,2.150807,1,8
18,2037,2.171257,1,8
18,2038,2.170761,1,8
18,2039,2.170265,1,8
18,2040,2.169768,1,8
18,2041,2.258521,1,8
18,2042,2.247221,1,8
18,2043,2.247221,1,8
18,2044,2.247221,1,8
18,2045,2.247221,1,8
18,2046,2.247221,1,8
18,2047,2.235921,1,8
18,2048,2.235921,1,8
18,2049,2.235921,1,8
18,2050,2.235921,1,8
18,2011,0.01222297,1,9
18,2012,0.001476102,1,9
18,2013,0.0002029626,1,9
18,2014,3.078494e-05,1,9
18,2015,4.925246e-06,1,9
18,2016,8.423425e-07,1,9
18,2017,1.337767e-07,1,9
18,2018,2.079658e-08,1,9
18,2019,3.051806e-09,1,9
18,2020,4.071946e-10,1,9
18,2021,5.084306e-11,1,9
18,2022,5.0507e-12,1,9
18,2023,4.125098e-13,1,9
18,2024,2.630538e-14,1,9
18,2025,1.252889e-15,1,9
18,2026,4.471096e-17,1,9
18,2027,1.036558e-18,1,9
18,2028,1.591502e-20,1,9
18,2029,1.544093e-22,1,9
18,2030,9.091909e-25,1,9
18,2031,3.24611e-27,1,9
18,2032,6.19844e-30,1,9
18,2033,6.407898e-33,1,9
18,2034,3.424854e-36,1,9
18,2035,9.092448e-40,1,9
18,2036,1.193007e-43,1,9
18,2037,6.886207e-48,1,9
18,2038,1.761718e-52,1,9
18,2039,1.908569e-57,1,9
18,2040,0,1,9
18,2041,0,1,9
18,2042,0,1,9
18,2043,0,1,9
18,2044,0,1,9
18,2045,0,1,9
18,2046,0,1,9
18,2047,0,1,9
18,2048,0,1,9
18,2049,0,1,9
18,2050,0,1,9
18,2011,0,1,5
18,2012,0,1,5
18,2013,0,1,5
18,2014,0,1,5
18,2015,0,1,5
18,2016,0,1,5
18,2017,0,1,5
18,2018,0,1,5
18,2019,0,1,5
18,2020,0,1,5
18,2021,0,1,5
18,2022,0,1,5
18,2023,0,1,5
18,2024,0,1,5
18,2025,0,1,5
18,2026,0,1,5
18,2027,0,1,5
18,2028,0,1,5
18,2029,0,1,5
18,2030,0,1,5
18,2031,0,1,5
18,2032,0,1,5
18,2033,0,1,5
18,2034,0,1,5
18,2035,0,1,5
18,2036,0,1,5
18,2037,0,1,5
18,2038,0,1,5
18,2039,0,1,5
18,2040,0,1,5
18,2041,0,1,5
18,2042,0,1,5
18,2043,0,1,5
18,2044,0,1,5
18,2045,0,1,5
18,2046,0,1,5
18,2047,0,1,5
18,2048,0,1,5
18,2049,0,1,5
18,2050,0,1,5
18,2011,0,2,1
18,2012,0,2,1
18,2013,0,2,1
18,2014,0,2,1
18,2015,0,2,1
18,2016,0,2,1
