"population_context_id","zone_id","year","total"
1,6,2042,6633.484
1,6,2043,6670.907
1,6,2044,6707.506
1,6,2045,6743.275
1,6,2046,6778.204
1,6,2047,6812.283
1,6,2048,6845.514
1,6,2049,6877.926
1,6,2050,6909.517
1,7,2011,31647.24
1,7,2012,31977.4
1,7,2013,32195.18
1,7,2014,32516.88
1,7,2015,32840.89
1,7,2016,33171.28
1,7,2017,33501.68
1,7,2018,33824.46
1,7,2019,34142.96
1,7,2020,34458.43
1,7,2021,34770.95
1,7,2022,35079.51
1,7,2023,35384.93
1,7,2024,35687.2
1,7,2025,35983.66
1,7,2026,36275.77
1,7,2027,36562.01
1,7,2028,36842.82
1,7,2029,37118.03
1,7,2030,37387.58
1,7,2031,37651.46
1,7,2032,37909.69
1,7,2033,38162.25
1,7,2034,38410.66
1,7,2035,38654.23
1,7,2036,38920.73
1,7,2037,39181.84
1,7,2038,39437.05
1,7,2039,39686.95
1,7,2040,39931.04
1,7,2041,40169.42
1,7,2042,40402.49
1,7,2043,40630.42
1,7,2044,40853.34
1,7,2045,41071.2
1,7,2046,41283.93
1,7,2047,41491.5
1,7,2048,41693.9
1,7,2049,41891.31
1,7,2050,42083.72
1,8,2011,11100.49
1,8,2012,11216.3
1,8,2013,11292.68
1,8,2014,11405.52
1,8,2015,11519.17
1,8,2016,11635.06
1,8,2017,11750.95
1,8,2018,11864.17
1,8,2019,11975.88
1,8,2020,12086.53
1,8,2021,12196.15
1,8,2022,12304.38
1,8,2023,12411.51
1,8,2024,12517.53
1,8,2025,12621.52
1,8,2026,12723.98
1,8,2027,12824.38
1,8,2028,12922.88
1,8,2029,13019.41
1,8,2030,13113.95
1,8,2031,13206.51
1,8,2032,13297.08
1,8,2033,13385.67
1,8,2034,13472.8
1,8,2035,13558.24
1,8,2036,13651.72
1,8,2037,13743.3
1,8,2038,13832.82
1,8,2039,13920.47
1,8,2040,14006.09
1,8,2041,14089.7
1,8,2042,14171.46
1,8,2043,14251.4
1,8,2044,14329.59
1,8,2045,14406.01
1,8,2046,14480.63
1,8,2047,14553.43
1,8,2048,14624.42
1,8,2049,14693.67
1,8,2050,14761.16
1,9,2011,29685.34
1,9,2012,29995.04
1,9,2013,30199.31
1,9,2014,30501.07
1,9,2015,30805
1,9,2016,31114.9
1,9,2017,31424.82
1,9,2018,31727.6
1,9,2019,32026.35
1,9,2020,32322.27
1,9,2021,32615.41
1,9,2022,32904.84
1,9,2023,33191.33
1,9,2024,33474.86
1,9,2025,33752.94
1,9,2026,34026.94
1,9,2027,34295.44
1,9,2028,34558.84
1,9,2029,34816.98
1,9,2030,35069.83
1,9,2031,35317.36
1,9,2032,35559.57
1,9,2033,35796.47
1,9,2034,36029.48
1,9,2035,36257.95
1,9,2036,36507.94
1,9,2037,36752.86
1,9,2038,36992.24
1,9,2039,37226.65
1,9,2040,37455.61
1,9,2041,37679.21
1,9,2042,37897.84
1,9,2043,38111.64
1,9,2044,38320.73
1,9,2045,38525.09
1,9,2046,38724.64
1,9,2047,38919.33
1,9,2048,39109.19
1,9,2049,39294.36
1,9,2050,39474.84
1,10,2011,8142.084
1,10,2012,8227.028
1,10,2013,8283.057
1,10,2014,8365.822
1,10,2015,8449.184
1,10,2016,8534.185
1,10,2017,8619.188
1,10,2018,8702.233
1,10,2019,8784.176
1,10,2020,8865.339
1,10,2021,8945.743
1,10,2022,9025.126
1,10,2023,9103.705
1,10,2024,9181.473
1,10,2025,9257.743
1,10,2026,9332.896
1,10,2027,9406.54
1,10,2028,9478.786
1,10,2029,9549.59
1,10,2030,9618.939
1,10,2031,9686.831
1,10,2032,9753.265
1,10,2033,9818.243
1,10,2034,9882.152
1,10,2035,9944.817
1,10,2036,10013.38
1,10,2037,10080.56
1,10,2038,10146.22
1,10,2039,10210.51
1,10,2040,10273.31
1,10,2041,10334.64
1,10,2042,10394.6
1,10,2043,10453.25
1,10,2044,10510.6
1,10,2045,10566.65
1,10,2046,10621.38
1,10,2047,10674.78
1,10,2048,10726.85
1,10,2049,10777.64
1,10,2050,10827.14
1,11,2011,174132.9
1,11,2012,175949.6
1,11,2013,177147.9
1,11,2014,178918
1,11,2015,180700.8
1,11,2016,182518.7
1,11,2017,184336.6
1,11,2018,186112.7
1,11,2019,187865.2
1,11,2020,189601
1,11,2021,191320.6
1,11,2022,193018.3
1,11,2023,194698.9
1,11,2024,196362.1
1,11,2025,197993.2
1,11,2026,199600.6
1,11,2027,201175.5
1,11,2028,202720.7
1,11,2029,204234.9
1,11,2030,205718.1
1,11,2031,207170.1
1,11,2032,208590.9
1,11,2033,209980.5
1,11,2034,211347.4
1,11,2035,212687.6
1,11,2036,214154
1,11,2037,215590.7
1,11,2038,216994.9
1,11,2039,218369.9
1,11,2040,219713
1,11,2041,221024.6
1,11,2042,222307.1
1,11,2043,223561.2
1,11,2044,224787.8
1,11,2045,225986.5
1,11,2046,227157
1,11,2047,228299.1
1,11,2048,229412.8
1,11,2049,230499
1,11,2050,231557.7
1,12,2011,2510.836
1,12,2012,2537.031
1,12,2013,2554.309
1,12,2014,2579.832
1,12,2015,2605.538
1,12,2016,2631.751
1,12,2017,2657.964
1,12,2018,2683.573
1,12,2019,2708.843
1,12,2020,2733.871
1,12,2021,2758.666
1,12,2022,2783.146
1,12,2023,2807.378
1,12,2024,2831.36
1,12,2025,2854.88
1,12,2026,2878.056
1,12,2027,2900.766
1,12,2028,2923.045
1,12,2029,2944.879
1,12,2030,2966.265
1,12,2031,2987.201
1,12,2032,3007.688
1,12,2033,3027.726
1,12,2034,3047.434
1,12,2035,3066.758
1,12,2036,3087.903
1,12,2037,3108.618
1,12,2038,3128.866
1,12,2039,3148.692
1,12,2040,3168.058
